appid,Title,Type,Price,Release_Date,Rating,Required_Age,Is_Multiplayer
107600,Waves,game,4.99,00:00.0,82,0,0
16720,Velvet Assassin,game,4.99,00:00.0,61,17,0
280220,Creeper World 3: Arc Eternal,game,14.99,00:00.0,-1,0,0
207150,Stellar Impact,game,9.99,00:00.0,74,0,1
41050,Serious Sam Classic: The First Encounter,game,99.99,00:00.0,87,0,1
269290,liteCam Game: 100 FPS Game Capture,game,14.99,00:00.0,-1,0,0
10140,3D Ultra™ Minigolf Adventures,game,9.99,00:00.0,-1,0,0
200990,Geneforge 3,game,19.99,00:00.0,-1,0,0
3400,Hammer Heads Deluxe,game,4.99,00:00.0,-1,0,0
102840,Shank 2,game,9.99,00:00.0,72,17,0
34030,Napoleon: Total War™,game,19.99,00:00.0,81,0,1
307190,Nicole (otome version),game,18.99,00:00.0,-1,0,0
201830,Jurassic Park: The Game,game,19.99,00:00.0,54,0,0
283230,Spoiler Alert,game,2.99,00:00.0,-1,0,0
301500,BOMB: Who let the dogfight?,game,7.99,00:00.0,-1,0,1
207670,AVSEQ,game,1.99,00:00.0,-1,0,0
256370,MXGP - The Official Motocross Videogame,game,19.99,00:00.0,-1,0,1
3990,Civilization IV®: Warlords,game,4.99,00:00.0,84,0,0
16040,Luxor: Quest for the Afterlife ,game,9.99,00:00.0,-1,0,0
15320,IL-2 Sturmovik: 1946,game,9.99,00:00.0,86,0,1
39550,SpellForce 2: Gold Edition,game,14.99,00:00.0,80,0,0
249930,A-Train 8,game,19.99,00:00.0,-1,0,0
295990,Evopollution,game,4.99,00:00.0,-1,0,0
47400,Stronghold 3 Gold,game,29.99,00:00.0,-1,0,1
260790,1001 Spikes,game,14.99,00:00.0,80,0,1
7730,X-COM: Interceptor,game,4.99,00:00.0,-1,0,1
7200,Trackmania United Forever Star Edition,game,29.99,00:00.0,80,0,1
207210,Tony Hawk’s Pro Skater® HD,game,9.99,00:00.0,-1,0,0
286500,"House of 1,000 Doors: Family Secrets Collector's Edition",game,9.99,00:00.0,-1,0,0
6270,Ducati World Championship,game,4.99,00:00.0,35,0,1
268890,Masters of the World - Geopolitical Simulator 3,game,49.99,00:00.0,-1,0,1
38210,Roogoo,game,2.99,00:00.0,72,0,1
216890,Blood Bowl: Chaos Edition,game,29.99,00:00.0,-1,0,1
269010,Science Girls,game,4.99,00:00.0,-1,0,0
242800,Day One : Garry's Incident,game,2.99,00:00.0,-1,0,0
250280,Super Comboman: Don't Mash Edition,game,14.99,00:00.0,-1,0,0
7210,"Runaway, A Road Adventure",game,9.99,00:00.0,74,0,0
9850,Codename: Panzers - Cold War,game,14.99,00:00.0,-1,0,1
279140,Making History: The Great War,game,29.99,00:00.0,-1,0,1
276460,Tales From The Dragon Mountain 2: The Lair,game,9.99,00:00.0,-1,0,0
55000,Flotilla,game,9.99,00:00.0,72,0,0
46840,Ironclads: Chincha Islands War 1866,game,9.99,00:00.0,-1,0,0
230780,articy:draft SE,game,99.99,00:00.0,-1,0,0
2290,Final DOOM,game,4.99,00:00.0,-1,0,0
2920,Sub Command,game,9.99,00:00.0,84,0,1
255370,KickBeat Steam Edition,game,9.99,00:00.0,-1,0,0
110400,inMomentum,game,9.99,00:00.0,59,0,1
24870,Need for Speed: Shift,game,19.99,00:00.0,83,0,1
249650,Blackguards,game,39.99,00:00.0,68,0,0
212010,Galaxy on Fire 2™ Full HD,game,19.99,00:00.0,-1,0,0
246880,Recruits,game,9.99,00:00.0,-1,0,1
286380,Strata,game,3.99,00:00.0,-1,0,0
35010,Batman: Arkham Asylum Game of the Year Edition,game,19.99,00:00.0,91,0,0
43190,The Haunted: Hells Reach,game,14.99,00:00.0,51,17,1
253960,Jack Orlando: Director's Cut,game,4.99,00:00.0,-1,0,0
98400,Hard Reset Extended Edition,game,14.99,00:00.0,73,17,0
211780,Conflict Desert Storm™,game,6.99,00:00.0,56,0,0
208730,Game of Thrones,game,19.99,00:00.0,58,0,0
313870,A Vampyre Story,game,19.99,00:00.0,75,0,0
225360,DARK,game,19.99,00:00.0,41,17,0
8360,Strong Bad's Cool Game for Attractive People: Season 1,game,19.99,00:00.0,82,0,0
49330,Pirates of Black Cove,game,9.99,00:00.0,56,0,0
3810,BloodRayne,game,9.99,00:00.0,65,17,0
32380,STAR WARS™ Jedi Knight - Dark Forces II,game,5.99,00:00.0,91,0,1
225300,Tomb Raider II,game,6.99,00:00.0,-1,13,0
11260,Pacific Storm Allies,game,13.99,00:00.0,60,0,1
279460,IHF Handball Challenge 14,game,9.99,00:00.0,-1,0,1
45410,Ignite,game,9.99,00:00.0,-1,0,1
41060,Serious Sam Classic: The Second Encounter,game,99.99,00:00.0,85,0,1
15200,Silent Hunter®: Wolves of the Pacific,game,9.99,00:00.0,79,0,1
40960,Stronghold HD,game,5.99,00:00.0,81,0,1
213850,Magic 2014 — Duels of the Planeswalkers,game,9.99,00:00.0,-1,0,1
252270,Zombie Tycoon 2: Brainhov's Revenge,game,9.99,00:00.0,-1,0,1
236530,Hot Wheels™ World’s Best Driver™,game,19.99,00:00.0,-1,0,1
257790,Riptide GP2,game,6.99,00:00.0,-1,0,1
290060,Glitchspace,game,12.99,00:00.0,-1,0,0
261920,Catzilla 4K - Advanced,game,14.99,00:00.0,-1,0,0
61730,Critter Crunch,game,6.99,00:00.0,-1,0,1
3350,Bejeweled Deluxe,game,4.99,00:00.0,-1,0,0
281900,Indie Graphics Bundle - Royalty Free Sprites,game,99.99,00:00.0,-1,0,0
22350,BRINK,game,19.99,00:00.0,70,0,1
234940,The 39 Steps,game,14.99,00:00.0,-1,0,0
207040,Sine Mora,game,9.99,00:00.0,77,17,0
237850,Dreamfall Chapters,game,29.99,00:00.0,73,0,0
205830,Luxor Evolved,game,9.99,00:00.0,-1,0,0
